,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
45,1050,"5310 Universal Cr., S4W 0K8, Regina, SK",2,1.0,0,0,0,1,0,1033,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,50.403828000000004,-104.65717211150788
46,1198,"1701 Horizons Way, Regina, SK, S4Y 0G5",2,2.0,0,0,1,1,1,913,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.455082,-104.7037566
47,1298,"1251 N Galloway Street, Regina, SK, S4X 0M6",2,1.0,0,1,1,1,1,859,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4979735,-104.6282567
48,1600,"5500 Mitchinson Way, Regina, SK S4W 0N9, Canada",2,2.0,1,1,1,2,0,900,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,50.4112119,-104.65993949765225
49,1148,"41 Munroe Place, Regina, SK, S4S 6A7",2,1.0,0,1,1,0,1,850,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,50.4143164,-104.6015627
50,1022,"22-41 Munroe Pl., Regina, SK, S4S 6A7",2,1.0,0,1,1,0,1,860,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,50.4143164,-104.6015627
51,1268,"700 Gladmer Pk., Regina, SK, S4P 2W9",3,1.0,0,0,0,1,1,1056,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,50.435046,-104.603461
52,1800,"2 Donahue Ave, Regina, SK S4R 3Y5, Canada",3,1.0,1,1,1,2,0,1000,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,50.480819800000006,-104.63305390451347
53,1160,"3367 Green Poppy Street, Regina, SK, S4W 0G3",1,1.0,0,0,0,1,1,529,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,50.4255301,-104.5066269
54,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,50.41547775,-104.5155892367307
55,1190,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",2,1.0,0,0,1,0,1,691,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4952793,-104.6868619
56,1190,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",2,1.0,0,0,1,0,1,691,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,50.4180892,-104.6487588
57,1240,"5601 Gordon Road, Regina, SK, S4W 0M6",1,1.0,0,0,1,0,1,780,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4053187,-104.6631924
58,1119,"Centennial St, Regina, SK S4S 6W3, Canada",2,1.0,0,1,1,1,1,860,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,50.41392,-104.597823
59,990,"653 Donald St, Esterhazy, Saskatchewan,, Esterhazy S0A 0X0 SK",2,1.0,0,0,0,2,0,900,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,50.6568509,-102.0716893
60,1300,"1839 Scarth St, S4P 2G9, Regina, SK",1,1.0,1,1,1,1,1,900,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,50.4754868,-104.6108606
61,923,"405 Rae St, Regina, SK S4R 3M3, Canada",2,1.0,0,1,1,1,0,792,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,50.47203854999999,-104.62066300000001
62,955,"34 Spence Street, Regina, SK, S4S 4H4",1,1.0,0,1,1,0,1,675,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.41357105,-104.6158451935195
63,600,"355  Northview Rd, Yorkton, SK, S3N 2X6",1,1.0,0,1,1,0,1,362,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,51.202979,-102.4873541
64,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
65,1060,"34 Spence Street, Regina, SK, S4S 4H4",2,1.0,0,1,1,0,1,800,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.41357105,-104.6158451935195
