,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
55,800,"1233 3rd St, Estevan, SK S4A 0R8, Canada",Townhouse,2,1.0,0,1,1,Not Included,1,1 Year,1,1000,0,['Laundry (In Building)'],0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/estevan-large-2-bedroom-town-house-private-entrance-interior/1570867728,1
56,700,"173 Procter Pl, Regina, SK S4S 4G1, Canada",Apartment,1,1.0,0,1,1,Not Included,1,Month-to-month,0,300,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Not Included'],0,"['24 Hour Security', 'Bicycle Parking']",/v-apartments-condos/regina/:-1-bedroom-apartment-for-rent-near-university/1570866410,0
57,1100,"67 Angus Rd, Regina, SK S4R 3L1, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,1140,0,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['24 Hour Security', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/2-bedroom-renovated-apartment/1566266156,0
58,935,"505 Rose St, Regina, SK S4R 1Z4, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,0,800,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/affordable-2-bedroom-suite/1570522689,0
59,1295,"4665 Skinner Cres, Regina, SK S4W 0A3, Canada",Apartment,1,1.0,0,0,0,Not Included,1,1 Year,0,800,1,['Laundry (In Unit)'],1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/tired-of-apartment-living-this-can-be-your-view/1570166372,1
60,1050,"5310 Universal Cr., S4W 0K8, Regina, SK",Basement,2,1.0,0,0,0,Not Included,1,1 Year,0,1033,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-basement-suite-in-harbour-landing/1570686647,0
62,1198,"1701 Horizons Way, Regina, SK, S4Y 0G5",Apartment,2,2.0,0,0,1,Not Included,1,1 Year,1,913,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/pet-friendly-two-bedroom-two-bath-with-in-suite-laundry-for/1538474538,0
63,1298,"1251 N Galloway Street, Regina, SK, S4X 0M6",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,1,859,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Elevator in Building'],/v-apartments-condos/regina/pet-friendly-two-bedroom-one-bath-with-in-suite-laundry-for/1552370301,0
64,1600,"5500 Mitchinson Way, Regina, SK S4W 0N9, Canada",Condo,2,2.0,1,1,1,Not Included,2,1 Year,0,900,0,"['Laundry (In Unit)', 'Dishwasher']",1,['Balcony'],0,['Elevator in Building'],/v-apartments-condos/regina/2-bedroom-2-bath-2-parking-main-floor-condo-harbour-landing/1570843431,1
65,1148,"41 Munroe Place, Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,0,1 Year,1,850,0,"['Laundry (In Unit)', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",1,"['24 Hour Security', 'Storage Space']",/v-apartments-condos/regina/2-bedroom-41-munroe-place/1505840039,0
